date,year,month,season,band2_blue,band3_green,band4_red,chlorophyll_a_ugL,turbidity_ntu,suspended_solids_mgL,ph,conductivity_uScm
2013-01-01,2013,1,Winter,0.0468,0.0312,0.0213,10.85,1.83,1.21,7.44,203.7
2013-02-01,2013,2,Winter,0.0449,0.032,0.0217,10.86,4.27,4.88,7.56,192.8
2013-03-01,2013,3,Spring,0.0472,0.0487,0.0335,11.88,4.62,2.81,7.83,206.9
2013-04-01,2013,4,Spring,0.0424,0.0529,0.032,13.63,5.26,4.46,8.15,201.9
2013-05-01,2013,5,Spring,0.0419,0.0497,0.0324,14.84,4.64,2.53,7.11,223.0
2013-06-01,2013,6,Summer,0.0495,0.0936,0.0428,18.92,5.49,4.97,7.71,224.5
2013-07-01,2013,7,Summer,0.0491,0.0885,0.0492,19.57,3.96,4.37,7.24,207.2
2013-08-01,2013,8,Summer,0.0433,0.1039,0.0414,23.21,3.26,4.19,7.46,231.7
2013-09-01,2013,9,Autumn,0.0493,0.0678,0.0316,13.43,5.77,3.65,6.95,187.3
2013-10-01,2013,10,Autumn,0.0395,0.0655,0.0339,16.44,4.35,4.25,7.62,203.8
2013-11-01,2013,11,Autumn,0.0477,0.0567,0.0315,12.17,3.3,4.56,7.24,210.2
2013-12-01,2013,12,Winter,0.0479,0.0377,0.0211,10.27,3.65,3.1,6.81,181.1
2014-01-01,2014,1,Winter,0.0371,0.0314,0.0203,8.92,3.67,5.08,7.28,224.8
2014-02-01,2014,2,Winter,0.0394,0.0348,0.0166,10.05,4.92,0.42,7.55,214.8
2014-03-01,2014,3,Spring,0.0414,0.0454,0.0301,10.75,4.93,3.69,7.96,205.2
2014-04-01,2014,4,Spring,0.0389,0.0565,0.0307,16.46,5.69,4.33,7.91,186.2
2014-05-01,2014,5,Spring,0.0412,0.0489,0.0281,9.46,5.31,3.28,6.89,189.7
2014-06-01,2014,6,Summer,0.0469,0.0968,0.0607,28.57,6.84,3.91,6.65,225.4
2014-07-01,2014,7,Summer,0.0401,0.0833,0.0431,16.77,6.65,4.79,7.34,199.3
2014-08-01,2014,8,Summer,0.035,0.0825,0.0469,23.42,5.74,6.17,7.23,196.3
2014-09-01,2014,9,Autumn,0.0392,0.0562,0.0434,11.57,6.39,2.94,7.73,217.7
2014-10-01,2014,10,Autumn,0.0441,0.0614,0.0301,15.02,4.11,1.98,6.95,213.5
2014-11-01,2014,11,Autumn,0.0545,0.063,0.0327,14.23,6.36,4.27,7.26,232.1
2014-12-01,2014,12,Winter,0.0476,0.0425,0.0198,9.41,2.44,5.69,8.0,206.4
2015-01-01,2015,1,Winter,0.0427,0.0422,0.0162,10.11,4.66,2.48,7.4,206.7
2015-02-01,2015,2,Winter,0.047,0.0419,0.0195,11.94,1.61,3.13,7.1,185.6
2015-03-01,2015,3,Spring,0.0397,0.053,0.0336,10.21,4.89,3.15,7.29,230.1
2015-04-01,2015,4,Spring,0.0482,0.0643,0.0291,12.64,4.33,4.17,7.46,188.3
2015-05-01,2015,5,Spring,0.0455,0.0568,0.0404,17.21,4.2,3.75,6.89,198.2
2015-06-01,2015,6,Summer,0.0469,0.1008,0.0423,17.09,2.75,4.46,7.03,209.4
2015-07-01,2015,7,Summer,0.0397,0.0867,0.0354,12.81,7.5,2.35,7.02,256.7
2015-08-01,2015,8,Summer,0.0624,0.0751,0.0448,15.92,7.54,3.06,7.31,235.5
2015-09-01,2015,9,Autumn,0.0476,0.0589,0.0326,10.12,4.51,3.49,7.48,198.9
2015-10-01,2015,10,Autumn,0.0478,0.0694,0.034,15.69,4.93,4.05,7.15,216.3
2015-11-01,2015,11,Autumn,0.0444,0.0777,0.0407,17.12,4.32,2.74,7.82,215.3
2015-12-01,2015,12,Winter,0.0479,0.03,0.0218,9.95,2.87,2.46,7.49,211.0
2016-01-01,2016,1,Winter,0.0432,0.0353,0.0186,10.56,5.79,0.2,7.32,213.5
2016-02-01,2016,2,Winter,0.0468,0.0341,0.015,10.42,5.9,0.64,7.7,203.4
2016-03-01,2016,3,Spring,0.0446,0.0481,0.0283,14.82,5.26,6.21,7.81,218.8
2016-04-01,2016,4,Spring,0.0555,0.0582,0.0333,12.19,4.91,2.87,7.75,186.4
2016-05-01,2016,5,Spring,0.0497,0.054,0.0347,14.17,7.09,5.02,6.85,208.7
2016-06-01,2016,6,Summer,0.038,0.0822,0.0575,19.37,5.32,3.6,7.41,195.7
2016-07-01,2016,7,Summer,0.041,0.0911,0.055,20.35,3.28,5.57,7.43,228.3
2016-08-01,2016,8,Summer,0.0547,0.0655,0.0433,15.88,3.48,6.6,7.53,236.9
2016-09-01,2016,9,Autumn,0.0416,0.0679,0.0383,15.57,5.39,4.62,7.1,207.0
2016-10-01,2016,10,Autumn,0.0441,0.0647,0.038,11.89,4.94,6.39,7.14,193.6
2016-11-01,2016,11,Autumn,0.0462,0.0682,0.0333,17.93,5.86,5.28,7.59,256.6
2016-12-01,2016,12,Winter,0.0438,0.03,0.0237,8.94,4.43,5.21,6.84,185.0
2017-01-01,2017,1,Winter,0.0354,0.0323,0.0205,11.11,4.46,1.02,6.59,211.1
2017-02-01,2017,2,Winter,0.0422,0.0378,0.0212,10.95,5.08,3.57,7.59,195.9
2017-03-01,2017,3,Spring,0.0439,0.0566,0.0332,12.45,5.45,3.5,7.36,226.6
2017-04-01,2017,4,Spring,0.033,0.0464,0.0235,7.56,3.48,4.53,7.3,214.0
2017-05-01,2017,5,Spring,0.0515,0.0643,0.0295,16.78,4.73,2.56,7.19,180.4
2017-06-01,2017,6,Summer,0.0397,0.0839,0.0527,23.17,4.24,5.54,7.04,229.5
2017-07-01,2017,7,Summer,0.0442,0.068,0.0535,12.82,5.3,3.22,7.17,228.6
2017-08-01,2017,8,Summer,0.0439,0.0913,0.0497,22.61,5.32,2.69,7.77,213.4
2017-09-01,2017,9,Autumn,0.0517,0.0647,0.0326,14.78,7.14,7.07,7.42,213.2
2017-10-01,2017,10,Autumn,0.0515,0.0553,0.0348,12.6,5.29,2.7,6.84,168.5
2017-11-01,2017,11,Autumn,0.0383,0.0583,0.0319,18.46,6.08,2.41,7.52,201.9
2017-12-01,2017,12,Winter,0.0433,0.0366,0.021,10.06,5.43,1.49,7.4,262.0
